status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,plaintext
x983429140148903940,4/9/2018 19:39,x880649293442535424,alexrose_0714,Just found out that I was wearing two different earrings this morning... after I was already home and I’ve been wearing them all day <f0><U+009F><U+0098><U+0091><f0><U+009F><U+0098><U+0091><f0><U+009F><U+0098><U+0091><f0><U+009F><U+0099><U+0083><f0><U+009F><U+0099><U+0083><f0><U+009F><U+0099><U+0083><f0><U+009F><U+0099><U+0083><f0><U+009F><U+0099><U+0083><f0><U+009F><U+0099><U+0083><f0><U+009F><U+0099><U+0083> again... I really need a #nap <f0><U+009F><U+0098><U+00B4> https://t.co/oLiywT7rw3,Twitter for iPhone,,,,FALSE,FALSE,0,0,nap,,,,,http://pbs.twimg.com/tweet_video_thumb/DaXXlfXX4AEUJFh.jpg,https://t.co/oLiywT7rw3,https://twitter.com/alexrose_0714/status/983429140148903940/photo/1,photo,http://pbs.twimg.com/tweet_video_thumb/DaXXlfXX4AEUJFh.jpg,https://t.co/oLiywT7rw3,https://twitter.com/alexrose_0714/status/983429140148903940/photo/1,,,,en,,,,,,,,,,,,,,Just found out that I was wearing two different earrings this morning... after I was already home and I've been wearing them all day again... I really need a #nap
x983428406745366528,4/9/2018 19:36,x54387996,DiamondLRosario,I’m still tired yo,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json,Bronx,"Bronx, NY",city,United States,US,,,-73.933612 -73.765271 -73.765271 -73.933612 40.785365 40.785365 40.91533 40.91533,I'm still tired yo
x983425087289352192,4/9/2018 19:23,x96894324,Mishakeet,@macytweets2u old and tired. my type,Twitter Web Client,x983424788298452993,x3248869453,macytweets2u,FALSE,FALSE,0,0,,,,,,,,,,,,,,x3248869453,macytweets2u,en,,,,,,,,,,,,,,@macytweets2u old and tired. my type
x983422975524433920,4/9/2018 19:14,x46995034,gloriously813,Now I’m tired and hungry. <f0><U+009F><U+0098><U+0091>,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Now I'm tired and hungry.
x983422125976510466,4/9/2018 19:11,x808590777291075584,clarencenyc_,Bed..sorry lol,Twitter for iPhone,,,,FALSE,FALSE,620,18,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Bed..sorry lol
x983421220854157313,4/9/2018 19:07,x28594426,167NaNa,Quick nap,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Quick nap
x983419857818537984,4/9/2018 19:02,x1306191140,flyskyhiqh,@clarencenyc_ “ i just want head on a comfortable bed it could all be so simple “,Twitter for iPhone,x983419556587859971,x808590777291075584,clarencenyc_,FALSE,FALSE,2,0,,,,,,,,,,,,,,x808590777291075584,clarencenyc_,en,,,,,,,,,,,,,,@clarencenyc_ i just want head on a comfortable bed it could all be so simple
x983419640545185797,4/9/2018 19:01,x880649293442535424,alexrose_0714,"I need a nap... like REALLY. I was gonna go pick up my sister from school and completely forgot that she didn’t go. I mean I don’t know how, I was there when we made that decision for her to stay home. <f0><U+009F><U+00A4><U+00A6><U+200D><U+2640><U+FE0F> #imdone #goodnight https://t.co/ZjnkBnEne3",Twitter for iPhone,,,,FALSE,FALSE,0,0,imdone goodnight,,,,,http://pbs.twimg.com/tweet_video_thumb/DaXO8Q6X0AAwYq1.jpg,https://t.co/ZjnkBnEne3,https://twitter.com/alexrose_0714/status/983419640545185797/photo/1,photo,http://pbs.twimg.com/tweet_video_thumb/DaXO8Q6X0AAwYq1.jpg,https://t.co/ZjnkBnEne3,https://twitter.com/alexrose_0714/status/983419640545185797/photo/1,,,,en,,,,,,,,,,,,,,"I need a nap... like REALLY. I was gonna go pick up my sister from school and completely forgot that she didn't go. I mean I don't know how, I was there when we made that decision for her to stay home. #imdone #goodnight"
x983418385995325441,4/9/2018 18:56,x49381107,tyrekecorrea,"@THEsaragilbert So when people make sex a part of their routine, does it then become about the physical workout that is the act of sex or the slothfulness implied by spending all that time in bed?",Twitter for Android,x983417609109590016,x49381107,tyrekecorrea,FALSE,FALSE,0,0,,,,,,,,,,,,,,x26861998,THEsaragilbert,en,,,,,,,,,,,,,,"@THEsaragilbert So when people make sex a part of their routine, does it then become about the physical workout that is the act of sex or the slothfulness implied by spending all that time in bed?"
x983416190151389184,4/9/2018 18:47,x943333497263022080,whysayyy,so exhausted,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,so exhausted
x983415586083532801,4/9/2018 18:45,x3916497075,King_Blaze21,@maddestmao It's more of a mental thing. It helps sets goals for people. If u make my bed then after completing that I should create another goal.,Twitter for Android,x983233353401815040,x855476090,maddestmao,FALSE,FALSE,0,0,,,,,,,,,,,,,,x855476090,maddestmao,en,,,,,,,,,,,,,,@maddestmao It's more of a mental thing. It helps sets goals for people. If u make my bed then after completing that I should create another goal.
x983415308068229128,4/9/2018 18:44,x985869475,Ortiz93A,sleep ass fuck ethnic teen tgp https://t.co/zRU4sffdh9,Twitter Web Client,,,,FALSE,FALSE,0,0,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/971274771852914689/pu/img/QtdPgrTEv_4Dpz_g.jpg,https://t.co/zRU4sffdh9,https://twitter.com/ofcaconhui1972/status/971274818845896704/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/971274771852914689/pu/img/QtdPgrTEv_4Dpz_g.jpg,https://t.co/zRU4sffdh9,https://twitter.com/ofcaconhui1972/status/971274818845896704/video/1,,,,en,,,,,,,,,,,,,,sleep ass fuck ethnic teen tgp
