status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,plaintext
x983389417699184643,4/9/2018 17:01,x2382992022,shewinksnyc,Come get your beauty sleep!! #lashnaps #beautyrest #lashsleep #appointmentsavailable #2129441850… https://t.co/HdtmeEBZZv,Instagram,,,,FALSE,FALSE,0,0,lashnaps beautyrest lashsleep appointmentsavailable,,instagram.com/p/BhW3kzplp3-/,https://t.co/HdtmeEBZZv,https://www.instagram.com/p/BhW3kzplp3-/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,40.75721 -73.98347,-73.98347 40.75721,-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483,Come get your beauty sleep!! #lashnaps #beautyrest #lashsleep #appointmentsavailable #2129441850
x983315727485755392,4/9/2018 12:08,x66723441,NYComputerHelp,"I woke up like this. If your phone woke up on the wrong side of the bed, you have a solution.… https://t.co/XywdRaBMO6",Instagram,,,,FALSE,FALSE,0,0,,,instagram.com/p/BhWWE79hU8c/,https://t.co/XywdRaBMO6,https://www.instagram.com/p/BhWWE79hU8c/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,40.747623 -73.981918,-73.981918 40.747623,-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483,"I woke up like this. If your phone woke up on the wrong side of the bed, you have a solution."
x983302190797385729,4/9/2018 11:14,x702189221868650496,Arin_Malcolm,How i go to bed after a long day of complements from people in relationships https://t.co/DmOOqpfsdM,Twitter for iPhone,,,,FALSE,FALSE,2,1,,,,,,http://pbs.twimg.com/media/DaVkG7AXcAAmjzI.jpg,https://t.co/DmOOqpfsdM,https://twitter.com/Arin_Malcolm/status/983302190797385729/photo/1,photo,http://pbs.twimg.com/media/DaVkG7AXcAAmjzI.jpg,https://t.co/DmOOqpfsdM,https://twitter.com/Arin_Malcolm/status/983302190797385729/photo/1,,,,en,,,,,,,,,,,,,,How i go to bed after a long day of complements from people in relationships
x983252928617205760,4/9/2018 7:59,x2892656435,lateishalopez,I be waking up in the middle of the night hungry af . &amp; I jst ate before I went to sleep,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,I be waking up in the middle of the night hungry af . & I jst ate before I went to sleep
x983245313535164416,4/9/2018 7:28,x2490413653,tordanjaylor,It would be nice to have someone to sleep next to sometimes but I do got a puppy to sleep next to so that’s alright for now!,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,It would be nice to have someone to sleep next to sometimes but I do got a puppy to sleep next to so that's alright for now!
x983195473891807233,4/9/2018 4:10,x951497808804286464,JoshFayz,I’m sorry but if it’s tied I’m going to bed,Tweetbot for i<U+039F>S,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/491bf99c866852e7.json,Murray Hill,"Murray Hill, Manhattan",neighborhood,United States,US,,,-73.982965 -73.972216 -73.972216 -73.982965 40.74479 40.74479 40.752814 40.752814,I'm sorry but if it's tied I'm going to bed
x983191155537072128,4/9/2018 3:53,x951497808804286464,JoshFayz,It’s funny Bc I’m usually on a flight at this hour bored out of my mind trying to sleep and this would’ve been perfect. But not tonight of course.,Tweetbot for i<U+039F>S,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/491bf99c866852e7.json,Murray Hill,"Murray Hill, Manhattan",neighborhood,United States,US,,,-73.982965 -73.972216 -73.972216 -73.982965 40.74479 40.74479 40.752814 40.752814,It's funny Bc I'm usually on a flight at this hour bored out of my mind trying to sleep and this would've been perfect. But not tonight of course.
x983188448503848960,4/9/2018 3:42,x951497808804286464,JoshFayz,I’m going to bed and listening to this on the radio broadcast. Y’all crazy.,Tweetbot for i<U+039F>S,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/491bf99c866852e7.json,Murray Hill,"Murray Hill, Manhattan",neighborhood,United States,US,,,-73.982965 -73.972216 -73.972216 -73.982965 40.74479 40.74479 40.752814 40.752814,I'm going to bed and listening to this on the radio broadcast. Y'all crazy.
x983168905945538560,4/9/2018 2:25,x711621469,sansaclegane,im bored but i don’t wanna go to bed,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,im bored but i don't wanna go to bed
x983141201359581184,4/9/2018 0:35,x1221697206,AJRupchandani,"Just when I think @Macys can’t top the year before they managed to do so. This years Flower <f0><U+009F><U+008C><U+00B8> Show was absolutely amazing. Worth getting up out of bed when your not feeling well, made me smile and remember the beauty of life. #FlowerShowGalore #FlowerFanaticAllergyCursed https://t.co/g8lGgqfn40",Twitter for iPhone,,,,FALSE,FALSE,0,0,FlowerShowGalore FlowerFanaticAllergyCursed,,,,,http://pbs.twimg.com/media/DaTRrthVwAAjGrf.jpg,https://t.co/g8lGgqfn40,https://twitter.com/AJRupchandani/status/983141201359581184/photo/1,photo,http://pbs.twimg.com/media/DaTRrthVwAAjGrf.jpg http://pbs.twimg.com/media/DaTRrthUQAEhQzh.jpg http://pbs.twimg.com/media/DaTRrtiVMAE9bQl.jpg http://pbs.twimg.com/media/DaTRrtgUMAIQYUk.jpg,https://t.co/g8lGgqfn40 https://t.co/g8lGgqfn40 https://t.co/g8lGgqfn40 https://t.co/g8lGgqfn40,https://twitter.com/AJRupchandani/status/983141201359581184/photo/1 https://twitter.com/AJRupchandani/status/983141201359581184/photo/1 https://twitter.com/AJRupchandani/status/983141201359581184/photo/1 https://twitter.com/AJRupchandani/status/983141201359581184/photo/1,,x50687788,Macys,en,,,,,https://api.twitter.com/1.1/geo/id/07d9dafaa2c84001.json,Macy's,Macy's,poi,United States,US,,,-73.98856401 -73.98856401 -73.98856401 -73.98856401 40.75061379 40.75061379 40.75061379 40.75061379,"Just when I think @Macys can't top the year before they managed to do so. This years Flower Show was absolutely amazing. Worth getting up out of bed when your not feeling well, made me smile and remember the beauty of life. #FlowerShowGalore #FlowerFanaticAllergyCursed"
x983058611726422019,4/8/2018 19:06,x34121731,EmilioAreas,".
.
Goodbye to sleep. 
I think that staying up is exactly what I need. 
Well take apart your… https://t.co/3LGmIaVX1l",Instagram,,,,FALSE,FALSE,0,0,,,instagram.com/p/BhUhJ-wlovB/,https://t.co/3LGmIaVX1l,https://www.instagram.com/p/BhUhJ-wlovB/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,40.75582346 -73.98635387,-73.98635387 40.75582346,-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483,. . Goodbye to sleep. I think that staying up is exactly what I need. Well take apart your
x983049391379550208,4/8/2018 18:30,x301068740,Social_Chef,@djmauibabe was doing her thing in the bed of a Toyota Tundra. <f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BF><f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BF><f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BF><f0><U+009F><U+0091><U+0,Instagram,,x34037953,djMauiBabe,FALSE,FALSE,0,0,,,instagram.com/p/BhUc3xxg5_Q/,https://t.co/iTN9prFbp2,https://www.instagram.com/p/BhUc3xxg5_Q/,,,,,,,,,x34037953,djMauiBabe,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,40.75692843 -74.00176815,-74.00176815 40.75692843,-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483,@djmauibabe was doing her thing in the bed of a Toyota Tundra. @ New York
x983029721775595520,4/8/2018 17:12,x708876512120823810,kaylie_flowers,The city that has insomnia https://t.co/98RgWLgeXo,Twitter for iPhone,,,,FALSE,FALSE,5,0,,,,,,http://pbs.twimg.com/media/DaRsUFMUQAAYhNB.jpg,https://t.co/98RgWLgeXo,https://twitter.com/kaylie_flowers/status/983029721775595520/photo/1,photo,http://pbs.twimg.com/media/DaRsUFMUQAAYhNB.jpg http://pbs.twimg.com/media/DaRsUFMVAAAM3MD.jpg http://pbs.twimg.com/media/DaRsUFMU8AASgOQ.jpg,https://t.co/98RgWLgeXo https://t.co/98RgWLgeXo https://t.co/98RgWLgeXo,https://twitter.com/kaylie_flowers/status/983029721775595520/photo/1 https://twitter.com/kaylie_flowers/status/983029721775595520/photo/1 https://twitter.com/kaylie_flowers/status/983029721775595520/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/07d9db04e7c85001.json,Times Square,Times Square,poi,,,,,-73.9862680435181 -73.9862680435181 -73.9862680435181 -73.9862680435181 40.7564898726738 40.7564898726738 40.7564898726738 40.7564898726738,The city that has insomnia
x982934600145088512,4/8/2018 10:54,x113090663,macdh,Thank you Francesca Acosta! Sweet gift from manager at Intercontinental Times Square for broken nights sleep out with their control and dealt with promptly! @InterConHotels https://t.co/FZ9KK20n7n,Twitter for Android,,,,FALSE,FALSE,4,0,,,,,,http://pbs.twimg.com/media/DaQVy_8V4AEr8SB.jpg,https://t.co/FZ9KK20n7n,https://twitter.com/macdh/status/982934600145088512/photo/1,photo,http://pbs.twimg.com/media/DaQVy_8V4AEr8SB.jpg,https://t.co/FZ9KK20n7n,https://twitter.com/macdh/status/982934600145088512/photo/1,,x50671851,InterConHotels,en,,,,,https://api.twitter.com/1.1/geo/id/07d9ed34c7088002.json,InterContinental New York Times Square,InterContinental New York Times Square,poi,United States,US,,,-73.989143371582 -73.989143371582 -73.989143371582 -73.989143371582 40.7585053374277 40.7585053374277 40.7585053374277 40.7585053374277,Thank you Francesca Acosta! Sweet gift from manager at Intercontinental Times Square for broken nights sleep out with their control and dealt with promptly! @InterConHotels
x982799901133287424,4/8/2018 1:58,x315407331,tahliasworld,When you are exhausted from volunteering but still wanna turn up. With hyo_mee we don’t know the… https://t.co/uyzq4HR6uR,Instagram,,,,FALSE,FALSE,1,0,,,instagram.com/p/BhSrFWWlnB8/,https://t.co/uyzq4HR6uR,https://www.instagram.com/p/BhSrFWWlnB8/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,40.75841 -73.9856,-73.9856 40.75841,-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483,When you are exhausted from volunteering but still wanna turn up. With hyo_mee we don't know the
x982793340075827200,4/8/2018 1:32,x1205730379,dimarco256,Harden tired. <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082> man just falling by himself,Twitter for Android,,,,FALSE,FALSE,0,1,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Harden tired. man just falling by himself
x982789163513778176,4/8/2018 1:16,x19123225,TonyTheVincent,"Tired eyes? Just continue to heap on the #eyeliner...
#rocknroll 
@Rocktopia_Live 
@maccosmetics… https://t.co/PgS26ExT6f",Instagram,,,,FALSE,FALSE,6,1,eyeliner rocknroll,,instagram.com/p/BhSmoF0FrbA/,https://t.co/PgS26ExT6f,https://www.instagram.com/p/BhSmoF0FrbA/,,,,,,,,,x15225275,MACcosmetics,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,40.76336 -73.9834,-73.9834 40.76336,-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483,Tired eyes? Just continue to heap on the #eyeliner... #rocknroll @Rocktopia_Live @maccosmetics
x982775189959315456,4/8/2018 0:20,x18754406,brightmanmusic,@amandashires performing in the bed of The All New Ram 1500 at the Harman Flagship Store in NYC… https://t.co/YO8aUghGFI,Instagram,,x18785334,amandashires,FALSE,FALSE,0,0,,,instagram.com/p/BhSgRLwgcIm/,https://t.co/YO8aUghGFI,https://www.instagram.com/p/BhSgRLwgcIm/,,,,,,,,,x18785334,amandashires,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,40.76014 -73.97375,-73.97375 40.76014,-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483,@amandashires performing in the bed of The All New Ram 1500 at the Harman Flagship Store in NYC
x982765764645212160,4/7/2018 23:43,x49180868,Serjik_M,Just listed! 2 bed/2.5 bath . 1400sqft . #condo . #UpperEastSide #stunning #apartment @… https://t.co/E0PvIAwJGc,Instagram,,,,FALSE,FALSE,0,0,condo UpperEastSide stunning apartment,,instagram.com/p/BhSbaO4jIFv/,https://t.co/E0PvIAwJGc,https://www.instagram.com/p/BhSbaO4jIFv/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,40.7626336 -73.96981001,-73.96981001 40.7626336,-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483,Just listed! 2 bed/2.5 bath . 1400sqft . #condo . #UpperEastSide #stunning #apartment @
