status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,plaintext
x983402282720092160,4/9/2018 17:52,x1434000446,KenKaneki69_,@ShelbyRaelane10 @NiaJaxWWE @AlexaBliss_WWE @MickieJames L. I'm on it today so chill out with this whole bullying shit. I been through it and I'm tired of seeing stuff like this.,Twitter for Android,x982840626059374592,x774309932493512704,ShelbyRaelane10,FALSE,FALSE,0,0,,,,,,,,,,,,,,x774309932493512704 2592634077 147023972 79890469,ShelbyRaelane10 NiaJaxWWE AlexaBliss_WWE MickieJames,en,,,,,,,,,,,,,,@ShelbyRaelane10 @NiaJaxWWE @AlexaBliss_WWE @MickieJames L. I'm on it today so chill out with this whole bullying shit. I been through it and I'm tired of seeing stuff like this.
x983397311735828482,4/9/2018 17:32,x349527649,kimburrrrleee,FaceTimed Abby on Friday and she was drinking a Michelob Ultra in bed. I made fun of her. Today she gets an ad on instagram for michelob ultra. No where is safe.,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,FaceTimed Abby on Friday and she was drinking a Michelob Ultra in bed. I made fun of her. Today she gets an ad on instagram for michelob ultra. No where is safe.
x983397095456559105,4/9/2018 17:31,x816369791308992512,Tracydwyer7,"@GSarafan Say ""free at last, free at last, thank God almighty free at last."" Then crack open some champagne, do an Irish jig, fall to my knees in thanks, have a good cry from relief, and get a good night's sleep...",Twitter for Android,x981668646207590400,x39603710,GSarafan,FALSE,FALSE,0,0,,,,,,,,,,,,,,x39603710,GSarafan,en,,,,,,,,,,,,,,"@GSarafan Say ""free at last, free at last, thank God almighty free at last."" Then crack open some champagne, do an Irish jig, fall to my knees in thanks, have a good cry from relief, and get a good night's sleep..."
x983391671114190848,4/9/2018 17:10,x425022413,lianakinahan_,i hate it when people ask what’s wrong when THERES NOTHING WRONG LIKE IM TIRED BITCH BYE,Twitter for iPhone,,,,FALSE,FALSE,0,1,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,i hate it when people ask what's wrong when THERES NOTHING WRONG LIKE IM TIRED BITCH BYE
x983377712055275522,4/9/2018 16:14,x279292089,Just_LikeAnanda,i just want a nap,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/71177291f1601de3.json,Carteret,"Carteret, NJ",city,United States,US,,,-74.254762 -74.206263 -74.206263 -74.254762 40.559086 40.559086 40.603565 40.603565,i just want a nap
x983367785517604864,4/9/2018 15:35,x2491978526,Flaming_Flareon,@JJ48fan7x @SeaOfThieves I shouldn't have went to sleep LUL,Twitter for Android,x983306758969085952,x3119576774,JJ48fan7x,FALSE,FALSE,1,0,,,,,,,,,,,,,,x3119576774 3375660701,JJ48fan7x SeaOfThieves,en,,,,,,,,,,,,,,@JJ48fan7x @SeaOfThieves I shouldn't have went to sleep LUL
x983359478950252544,4/9/2018 15:02,x730457030620790784,JRiveraaaaa,I can’t wait til the Raptors get swept by the Cavs in the playoffs and Kyle Lowry averages less than 10 ppg <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0092><U+0080> so tired of all this We The North bullshit https://t.co/8IHAatkJsu,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,http://pbs.twimg.com/media/DaWYOZKW4AA6yI5.jpg,https://t.co/8IHAatkJsu,https://twitter.com/JRiveraaaaa/status/983359478950252544/photo/1,photo,http://pbs.twimg.com/media/DaWYOZKW4AA6yI5.jpg,https://t.co/8IHAatkJsu,https://twitter.com/JRiveraaaaa/status/983359478950252544/photo/1,,,,en,,,,,,,,,,,,,,I can't wait til the Raptors get swept by the Cavs in the playoffs and Kyle Lowry averages less than 10 ppg so tired of all this We The North bullshit
x983353120498610177,4/9/2018 14:37,x343208845,Its_Tolerance,haha yes i havnt gone to sleep haha YES im missing all the thumbnails im about to get asked to do today gn,Twitter Web Client,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,haha yes i havnt gone to sleep haha YES im missing all the thumbnails im about to get asked to do today gn
x983352539230896128,4/9/2018 14:34,x425022413,lianakinahan_,ive never been this tired before,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,ive never been this tired before
x983343594663825408,4/9/2018 13:59,x3712356921,MichaelDeSolis,Ride to campus is gonna be here in an hour and I still haven't left bed.,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Ride to campus is gonna be here in an hour and I still haven't left bed.
x983341689447370752,4/9/2018 13:51,x1947813288,ownbravado,JOKES ON HER I can sleep an extra 9 hours it turns out,Twitter for iPhone,x983197157762224128,x1947813288,ownbravado,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,JOKES ON HER I can sleep an extra 9 hours it turns out
